Timestamp,בעיה,דוגמה מהחיים / הסבר,Source1,Link1,Source2,Link2,Source 3,Link 3,כל אדם,אישה,גבר,להטב׳׳ק,ערבי/ה,דרוזי/ת,יהודי/ה חילוני/ת,יהודי/ה רפורמי/ת,חרדי,חרדית,יהודי/ה דתי/ה ,יהודי/ה דתי/ה ליברלי/ת,יהודי/ה מסורתי/ת,סטודנט/ית,סגל אקדמי,שכיר/ה,עצמאי/ת,עובד/ת במגזר הציבורי,עובד/ת המגזר השלישי,חייל/ת,משרת/ת במילואים,לא שרתתי בצבא,אזרח/ית ותיק/ה,גר/ה בפריפריה,משתמש/ת בתחבורה ציבורית,בעל/ת מוגבלות,הורה יחידני/ת,הורה לילדים בחינוך הממלכתי,עולה חדש/ה,תיכוניסט/ית בחינוך הממלכתי,תלמיד/ת חטיבת ביניים בחינוך הממלכתי,שוטרים/ות ואנשי/נשות קבע,מיוצאי אתיופיה,
3/4/2023 23:16:37,"חוק ביטוח בריאות ממלכתי מחייב אספקת שירותי בריאות באיכות סבירה, במרחק סביר ובזמן סביר לכל תושבי ישראל. ביטול עילת הסבירות ירוקן מתוכן את האפשרות לביקורת שיפוטית על יישום החוק","לדוגמה, משרד הבריאות נמנע משך שנים מעדכון התקציב לטיפול בילדים אוטיסטים; בג׳׳צ התערב לטובתם",פס׳׳ד העמותה לילדים בסיכון,https://www.nevo.co.il/psika_html/elyon/11029020-k14.htm,נייר עמדה החלוקים הלבנים,https://drive.google.com/file/d/12feI8lj_Ir6s7p7VI8YwWfhGkd20x312/view,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,
3/4/2023 23:33:44,חברי הכנסת והשרים לעיתים קרובות אינם שומרים על זכויות אדם של קבוצות מוחלשות באוכלוסייה. ביטול הביקורת השיפוטית יביא לכך שלא יהיה שום גורם מפקח שיוכל להתערב לטובת קבוצות אלה,חושב/ת שחיוני להקפיד על הליך הוגן לאדם שנעצר? בג׳׳צ פסל חוקים שלא הקפידו על כך. חושב/ת שגם על זכויות אדם של עובדים זרים חייבים לשמור? בג׳׳צ התערב מספר פעמים כדי לוודא זאת,נייר עמדה בנושא השלכות ההפיכה המשטרית על המשפט הפלילי,https://221fecf6-5588-4c13-998e-7da055e5279b.usrfiles.com/ugd/a3e4e4_3a3e97ff51ce4ee293e460de48dd3604.pdf,נייר עמדה זולת,https://zulat.org.il/wp-content/uploads/2023/02/השלכות-השינויים-במערכת-המשפט-על-בריאות-הציבור-3.pdf,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/5/2023 23:31:47,"הממשלה מתכננת לתקן את חוק איסור אפליה במוצרים, בשירותים ובכניסה למקומות בידור ולמקומות ציבוריים, באופן  שיאפשר לבעלי עסק להמנע ממתן שרותים לפי אמונתם הדתית. ביטול הביקורת החוקתית ימנע מבג׳׳צ להתערב ",את/ה לובש/ת גופיה? מכנסיים קצרים? בעל עסק דתי יוכל לסרב להכניס אותך או לתת לך שירות.,סעיף 97 להסכם הקואליציוני עם סיעת הציונות הדתית,https://main.knesset.gov.il/mk/government/Documents/CA37-RZ.pdf,נייר עמדה בנושא הפגיעה בזכויות נשים,https://www.lawprofsforum.org/_files/ugd/a3e4e4_88283df570a44dda98c23cefc5bcb24b.pdf,,,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,
3/5/2023 23:31:47,"הממשלה מתכננת לתקן את חוק איסור אפליה במוצרים, בשירותים ובכניסה למקומות בידור ולמקומות ציבוריים, באופן  שיאפשר לבעלי עסק להמנע ממתן שרותים לפי אמונתם הדתית. ביטול הביקורת החוקתית ימנע מבג׳׳צ להתערב ", אתם/ן זוג להט׳׳בי? בעל עסק דתי יוכל לסרב להכניס אתכם או לתת לכם שירות. ,סעיף 97 להסכם הקואליציוני עם סיעת הציונות הדתית,https://main.knesset.gov.il/mk/government/Documents/CA37-RZ.pdf,נייר עמדה בנושא הפגיעה בזכויות נשים,https://www.lawprofsforum.org/_files/ugd/a3e4e4_88283df570a44dda98c23cefc5bcb24b.pdf,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/5/2023 23:31:47,"הממשלה מתכננת לתקן את חוק איסור אפליה במוצרים, בשירותים ובכניסה למקומות בידור ולמקומות ציבוריים, באופן  שיאפשר לבעלי עסק להמנע ממתן שרותים לפי אמונתם הדתית. ביטול הביקורת החוקתית ימנע מבג׳׳צ להתערב ",מוסלמי/ת? נוצרי/ת? דרוזי/ת? בעל עסק יוכל לסרב להכניס אתכם או לתת לכם שירות על רקע דתי,סעיף 97 להסכם הקואליציוני עם סיעת הציונות הדתית,https://main.knesset.gov.il/mk/government/Documents/CA37-RZ.pdf,נייר עמדה בנושא הפגיעה בזכויות נשים,https://www.lawprofsforum.org/_files/ugd/a3e4e4_88283df570a44dda98c23cefc5bcb24b.pdf,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/5/2023 23:31:47,"הממשלה מתכננת לתקן את חוק איסור אפליה במוצרים, בשירותים ובכניסה למקומות בידור ולמקומות ציבוריים, באופן  שיאפשר לבעלי עסק להמנע ממתן שרותים לפי אמונתם הדתית. ביטול הביקורת החוקתית ימנע מבג׳׳צ להתערב ", דתיים ומבקשים לרשום ילדה לבית ספר דתי לבנות? ייתכן שיסרבו לקבל אותה כי היא לא דתייה מספיק לדעת בית הספר,סעיף 97 להסכם הקואליציוני עם סיעת הציונות הדתית,https://main.knesset.gov.il/mk/government/Documents/CA37-RZ.pdf,נייר עמדה בנושא הפגיעה בזכויות נשים,https://www.lawprofsforum.org/_files/ugd/a3e4e4_88283df570a44dda98c23cefc5bcb24b.pdf,,,,,,,,,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
,חברי הכנסת והשרים לעיתים אינם שומרים על זכויות של קבוצות מיעוט בחברה. ביטול הביקורת השיפוטית יביא לכך שלא יהיה שום גורם מפקח שיוכל להתערב לטובת קבוצות אלה,"בג׳׳צ הגן על תושבי הפריפריה כאשר חייב את המדינה לדאוג למיגון כיתות בעוטף עזה. בג׳׳צ גם מנע ביטול של סבסוד מעונות לילדי אברכים ללא התרעה מוקדמת סבירה. בדומה לכך, בג׳׳צ התערב במשך השנים כדי להגן על ערבים, בעלי מוגבלות, אזרחים ותיקים, רפורמים וקבוצות מיעוט נוספות",בג׳׳ץ 8397/06 אדוארדו,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\06/970/083/n21&fileName=06083970_n21.txt&type=4,כלכליסט: בג׳׳ץ האריך את סבסוד המעונות לילדי אברכים,https://www.calcalist.co.il/local_news/article/hkt5ee3nk,,,,,,1,1,1,,1,,,,1,1,,,,,,,,,,1,1,,1,1,,1,,,,,
,חברי הכנסת והשרים לעיתים אינם שומרים על זכויות של קבוצות מיעוט בחברה. ביטול הביקורת השיפוטית יביא לכך שלא יהיה שום גורם מפקח שיוכל להתערב לטובת קבוצות אלה,בג׳׳צ מנע ביטול של סבסוד מעונות לילדי אברכים ללא התרעה מוקדמת סבירה. ,בג׳׳ץ 8397/06 אדוארדו,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\06/970/083/n21&fileName=06083970_n21.txt&type=4,כלכליסט: בג׳׳ץ האריך את סבסוד המעונות לילדי אברכים,https://www.calcalist.co.il/local_news/article/hkt5ee3nk,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
3/5/2023 23:40:27,הפרדה מגדרית במקומות ציבוריים,"לא תהיה מניעה להרחיב משמעותית את ההפרדה בין נשים לגברים במוסדות אקדמיים, באירועי תרבות, באוטובוסים, בבריכות שחיה ועוד. כתוצאה מכך גם ייפגעו הזדמנויות תעסוקתיות בעיקר לנשים (שיוכלו לשרת רק נשים). ביטול הביקורת החוקתית ימנע מבג׳׳צ להתערב",סעיף 97 להסכם הקואליציוני עם סיעת הציונות הדתית,https://main.knesset.gov.il/mk/government/Documents/CA37-RZ.pdf,נייר עמדה בנושא הפגיעה בזכויות נשים,https://www.lawprofsforum.org/_files/ugd/a3e4e4_88283df570a44dda98c23cefc5bcb24b.pdf,,,,1,,,1,1,1,1,,1,,1,1,1,1,,,,,,,,,,1,,,,,,,,,
,הפרדה מגדרית במקומות ציבוריים,רצית ללכת לים או להופעה עם חברות וחברים? לקיים פעולת נוער משותפת לבנים ובנות? הממשלה מתכננת הרחבה משמעותית של ההפרדה בין נשים לגברים במקומות ציבוריים. ביטול הביקורת החוקתית ימנע מבג׳׳צ להתערב,סעיף 97 להסכם הקואליציוני עם סיעת הציונות הדתית,https://main.knesset.gov.il/mk/government/Documents/CA37-RZ.pdf,נייר עמדה בנושא הפגיעה בזכויות נשים,https://www.lawprofsforum.org/_files/ugd/a3e4e4_88283df570a44dda98c23cefc5bcb24b.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
